instance_id,size_class,n_stars,n_edges,n_anchor,n_relay,n_dim,p_anchor,p_relay,graph_density,n_crossing_pairs,solver_decisions,difficulty_bucket
stellarium_L_000,L,50,99,37,10,3,0.74,0.2,1.98,0,0,easy
stellarium_L_001,L,49,92,33,14,2,0.673469387755102,0.2857142857142857,1.8775510204081634,0,0,easy
stellarium_L_002,L,48,95,31,14,3,0.6458333333333334,0.2916666666666667,1.9791666666666667,0,0,easy
stellarium_L_003,L,54,97,41,10,3,0.7592592592592593,0.18518518518518517,1.7962962962962963,0,0,easy
stellarium_L_004,L,50,90,39,10,1,0.78,0.2,1.8,0,0,easy
stellarium_L_005,L,55,131,31,12,12,0.5636363636363636,0.21818181818181817,2.381818181818182,0,3,hard
stellarium_L_006,L,51,96,35,14,2,0.6862745098039216,0.27450980392156865,1.8823529411764706,0,0,easy
stellarium_L_007,L,55,118,35,10,10,0.6363636363636364,0.18181818181818182,2.1454545454545455,0,0,easy
stellarium_L_008,L,47,93,30,14,3,0.6382978723404256,0.2978723404255319,1.9787234042553192,0,0,easy
stellarium_L_009,L,47,99,30,10,7,0.6382978723404256,0.2127659574468085,2.106382978723404,0,10,hard
stellarium_L_010,L,53,115,33,14,6,0.6226415094339622,0.2641509433962264,2.169811320754717,0,0,easy
stellarium_L_011,L,49,112,24,16,9,0.4897959183673469,0.32653061224489793,2.2857142857142856,0,30,hard
stellarium_L_012,L,54,107,41,8,5,0.7592592592592593,0.14814814814814814,1.9814814814814814,0,0,easy
stellarium_L_013,L,54,122,31,12,11,0.5740740740740741,0.2222222222222222,2.259259259259259,0,0,easy
stellarium_L_014,L,50,103,34,10,6,0.68,0.2,2.06,0,0,easy
stellarium_L_015,L,47,95,36,8,3,0.7659574468085106,0.1702127659574468,2.021276595744681,0,0,easy
stellarium_L_016,L,52,101,34,12,6,0.6538461538461539,0.23076923076923078,1.9423076923076923,0,0,easy
stellarium_L_017,L,45,87,26,14,5,0.5777777777777777,0.3111111111111111,1.9333333333333333,0,0,easy
stellarium_L_018,L,46,87,29,14,3,0.6304347826086957,0.30434782608695654,1.891304347826087,0,0,easy
stellarium_L_019,L,55,107,44,8,3,0.8,0.14545454545454545,1.9454545454545455,0,0,easy
stellarium_M_000,M,28,58,17,6,5,0.6071428571428571,0.21428571428571427,2.0714285714285716,0,0,easy
stellarium_M_001,M,26,55,9,12,5,0.34615384615384615,0.46153846153846156,2.1153846153846154,0,0,easy
stellarium_M_002,M,29,70,17,4,8,0.5862068965517241,0.13793103448275862,2.413793103448276,0,0,easy
stellarium_M_003,M,35,69,22,8,5,0.6285714285714286,0.22857142857142856,1.9714285714285715,0,0,easy
stellarium_M_004,M,30,58,21,6,3,0.7,0.2,1.9333333333333333,0,0,easy
stellarium_M_005,M,30,52,22,6,2,0.7333333333333333,0.2,1.7333333333333334,0,0,easy
stellarium_M_006,M,28,47,22,6,0,0.7857142857142857,0.21428571428571427,1.6785714285714286,0,0,easy
stellarium_M_007,M,29,52,21,6,2,0.7241379310344828,0.20689655172413793,1.793103448275862,0,0,easy
stellarium_M_008,M,35,68,23,8,4,0.6571428571428571,0.22857142857142856,1.9428571428571428,0,0,easy
stellarium_M_009,M,26,45,20,6,0,0.7692307692307693,0.23076923076923078,1.7307692307692308,0,0,easy
stellarium_M_010,M,35,74,15,16,4,0.42857142857142855,0.45714285714285713,2.1142857142857143,0,0,easy
stellarium_M_011,M,33,61,26,6,1,0.7878787878787878,0.18181818181818182,1.8484848484848484,0,0,easy
stellarium_M_012,M,28,62,13,8,7,0.4642857142857143,0.2857142857142857,2.2142857142857144,0,0,easy
