instance_id,size_class,n_stars,n_edges,difficulty_bucket,encoding,solver,solve_time,decisions,n_clauses,n_constraints,n_vars,nodes,satisfiable
stellarium_L_000,L,50,99,easy,sat,Cadical103,2.5958986952900887e-05,0.0,661.0,,,,True
stellarium_L_000,L,50,99,easy,sat,Minisat22,3.9207981899380684e-05,2.0,661.0,,,,True
stellarium_L_000,L,50,99,easy,smt,Z3,0.0008879590313881636,,,61.0,,,True
stellarium_L_000,L,50,99,easy,ip,Gurobi,0.00029608304612338543,,,50.0,99.0,0.0,True
stellarium_L_001,L,49,92,easy,sat,Cadical103,2.1625077351927757e-05,0.0,587.0,,,,True
stellarium_L_001,L,49,92,easy,sat,Minisat22,2.6292167603969574e-05,2.0,587.0,,,,True
stellarium_L_001,L,49,92,easy,smt,Z3,0.0006832079961895943,,,57.0,,,True
stellarium_L_001,L,49,92,easy,ip,Gurobi,0.00010825018398463726,,,49.0,92.0,0.0,True
stellarium_L_002,L,48,95,easy,sat,Cadical103,2.0625069737434387e-05,0.0,587.0,,,,True
stellarium_L_002,L,48,95,easy,sat,Minisat22,5.187490023672581e-05,5.0,587.0,,,,True
stellarium_L_002,L,48,95,easy,smt,Z3,0.0011982908472418785,,,63.0,,,True
stellarium_L_002,L,48,95,easy,ip,Gurobi,0.00010870816186070442,,,48.0,95.0,0.0,True
stellarium_L_003,L,54,97,easy,sat,Cadical103,2.2792024537920952e-05,0.0,621.0,,,,True
stellarium_L_003,L,54,97,easy,sat,Minisat22,5.6541990488767624e-05,2.0,621.0,,,,True
stellarium_L_003,L,54,97,easy,smt,Z3,0.0008225829806178808,,,64.0,,,True
stellarium_L_003,L,54,97,easy,ip,Gurobi,0.00014012516476213932,,,54.0,97.0,0.0,True
stellarium_L_004,L,50,90,easy,sat,Cadical103,1.7833895981311798e-05,0.0,561.0,,,,True
stellarium_L_004,L,50,90,easy,sat,Minisat22,2.8416048735380173e-05,2.0,561.0,,,,True
stellarium_L_004,L,50,90,easy,smt,Z3,0.0006824578158557415,,,52.0,,,True
stellarium_L_004,L,50,90,easy,ip,Gurobi,0.00011320807971060276,,,50.0,90.0,0.0,True
stellarium_L_005,L,55,131,hard,sat,Cadical103,3.837491385638714e-05,3.0,861.0,,,,True
stellarium_L_005,L,55,131,hard,sat,Minisat22,6.670900620520115e-05,7.0,861.0,,,,True
stellarium_L_005,L,55,131,hard,smt,Z3,0.0015848749317228794,,,102.0,,,True
stellarium_L_005,L,55,131,hard,ip,Gurobi,0.00037829112261533737,,,55.0,131.0,0.0,True
stellarium_L_006,L,51,96,easy,sat,Cadical103,2.1165935322642326e-05,0.0,608.0,,,,True
stellarium_L_006,L,51,96,easy,sat,Minisat22,3.408314660191536e-05,2.0,608.0,,,,True
stellarium_L_006,L,51,96,easy,smt,Z3,0.0008682080078870058,,,58.0,,,True
stellarium_L_006,L,51,96,easy,ip,Gurobi,0.00026062503457069397,,,51.0,96.0,0.0,True
stellarium_L_007,L,55,118,easy,sat,Cadical103,3.658304922282696e-05,0.0,757.0,,,,True
stellarium_L_007,L,55,118,easy,sat,Minisat22,5.062483251094818e-05,7.0,757.0,,,,True
stellarium_L_007,L,55,118,easy,smt,Z3,0.0012583339121192694,,,95.0,,,True
stellarium_L_007,L,55,118,easy,ip,Gurobi,0.00044541689567267895,,,55.0,118.0,0.0,True
stellarium_L_008,L,47,93,easy,sat,Cadical103,2.0625069737434387e-05,0.0,574.0,,,,True
stellarium_L_008,L,47,93,easy,sat,Minisat22,3.6833109334111214e-05,2.0,574.0,,,,True
stellarium_L_008,L,47,93,easy,smt,Z3,0.0007311671506613493,,,58.0,,,True
stellarium_L_008,L,47,93,easy,ip,Gurobi,7.408298552036285e-05,,,47.0,93.0,0.0,True
stellarium_L_009,L,47,99,hard,sat,Cadical103,4.9584079533815384e-05,10.0,639.0,,,,True
stellarium_L_009,L,47,99,hard,sat,Minisat22,6.858399137854576e-05,36.0,639.0,,,,True
stellarium_L_009,L,47,99,hard,smt,Z3,0.0012500828597694635,,,77.0,,,True
stellarium_L_009,L,47,99,hard,ip,Gurobi,0.00041066715493798256,,,47.0,99.0,0.0,True
stellarium_L_010,L,53,115,easy,sat,Cadical103,2.8542010113596916e-05,0.0,736.0,,,,True
stellarium_L_010,L,53,115,easy,sat,Minisat22,5.9125013649463654e-05,10.0,736.0,,,,True
stellarium_L_010,L,53,115,easy,smt,Z3,0.0012210828717797995,,,78.0,,,True
stellarium_L_010,L,53,115,easy,ip,Gurobi,0.00031025009229779243,,,53.0,115.0,0.0,True
stellarium_L_011,L,49,112,hard,sat,Cadical103,8.754199370741844e-05,30.0,708.0,,,,True
stellarium_L_011,L,49,112,hard,sat,Minisat22,6.295810453593731e-05,12.0,708.0,,,,True
stellarium_L_011,L,49,112,hard,smt,Z3,0.0013028329703956842,,,80.0,,,True
stellarium_L_011,L,49,112,hard,ip,Gurobi,0.00015050009824335575,,,49.0,112.0,0.0,True
stellarium_L_012,L,54,107,easy,sat,Cadical103,2.420879900455475e-05,0.0,701.0,,,,True
stellarium_L_012,L,54,107,easy,sat,Minisat22,4.654214717447758e-05,5.0,701.0,,,,True
stellarium_L_012,L,54,107,easy,smt,Z3,0.0014432920143008232,,,74.0,,,True
stellarium_L_012,L,54,107,easy,ip,Gurobi,0.0002995419781655073,,,54.0,107.0,0.0,True
stellarium_L_013,L,54,122,easy,sat,Cadical103,2.6250025257468224e-05,0.0,818.0,,,,True
